Time stamp,LG 1,LG 2,LG 3,LG 4,LG 5,LG 6,LG 7,LG 8,LG 9,LG 10,LG 11,LG 12,LG 13
2016-01-01 00:15:00,39,332.16,10.552,416.0,13.12,0.12,6.0,120,70,38.52,0.0,27.4,29.6
2016-01-01 00:30:00,41,321.36,10.3,418.4,13.12,0.24,6.0,116,74,39.36,0.0,25.448,30.4
2016-01-01 00:45:00,39,336.48,10.348,419.6,13.76,0.12,6.0,108,68,39.84,0.0,27.0,30.4
2016-01-01 01:00:00,40,319.2,10.6,422.0,13.44,0.12,8.0,112,80,39.24,0.0,27.552,29.6
2016-01-01 01:15:00,39,322.8,10.148,418.8,13.44,0.24,6.0,120,72,38.52,272.0,24.9,31.2
2016-01-01 01:30:00,40,334.56,11.8,417.6,13.12,0.12,6.0,120,74,37.32,270.0,27.6,31.2
2016-01-01 01:45:00,40,322.08,10.448,419.6,12.8,0.36,6.0,120,70,35.64,271.0,26.3,30.4
2016-01-01 02:00:00,41,318.96,10.0,419.2,13.76,0.24,8.0,116,76,33.84,270.0,26.052,31.2
2016-01-01 02:15:00,40,324.96,10.052,417.2,13.76,0.12,8.0,112,70,32.52,270.0,26.9,30.4
2016-01-01 02:30:00,40,340.56,10.848,419.2,13.12,0.12,6.0,120,74,33.12,272.0,26.3,32.0
2016-01-01 02:45:00,39,353.04,9.952,416.4,12.8,0.24,6.0,120,72,33.48,270.0,26.352,30.4
2016-01-01 03:00:00,39,335.52,11.152,418.4,13.44,0.12,8.0,124,76,30.96,271.0,27.752,29.6
2016-01-01 03:15:00,42,342.0,10.552,418.8,13.12,0.24,10.0,112,76,30.48,284.0,24.852,29.6
2016-01-01 03:30:00,38,339.36,10.348,418.4,12.8,0.24,6.0,108,74,29.76,309.0,27.6,30.4
2016-01-01 03:45:00,40,330.0,10.552,418.4,13.12,0.12,6.0,108,70,25.8,271.0,27.0,29.6
2016-01-01 04:00:00,41,345.6,9.952,416.4,13.12,0.24,6.0,120,68,24.72,271.0,25.5,30.4
2016-01-01 04:15:00,39,335.04,10.252,419.6,13.12,0.12,6.0,124,78,25.44,269.0,26.952,31.2
2016-01-01 04:30:00,41,326.4,10.752,418.4,13.44,0.24,6.0,124,74,25.68,270.0,27.5,32.0
2016-01-01 04:45:00,39,336.48,11.5,418.8,13.44,0.12,8.0,128,70,25.92,270.0,25.2,30.4
2016-01-01 05:00:00,40,339.12,9.8,418.0,13.12,0.12,6.0,128,74,26.64,271.0,27.2,30.4
2016-01-01 05:15:00,41,358.8,11.352,403.2,13.44,0.24,8.0,116,78,27.96,269.0,27.1,36.8
2016-01-01 05:30:00,39,405.12,11.2,408.8,13.44,0.24,6.0,112,74,29.88,271.0,25.552,37.6
2016-01-01 05:45:00,39,364.08,10.848,418.4,17.92,0.24,6.0,116,72,30.96,270.0,27.652,37.6
2016-01-01 06:00:00,41,368.4,11.548,420.4,26.24,0.24,8.0,116,78,35.64,270.0,26.152,38.4
2016-01-01 06:15:00,40,366.48,12.552,417.6,26.24,0.12,6.0,116,74,34.68,271.0,26.552,40.0
2016-01-01 06:30:00,38,355.92,12.6,419.2,27.2,0.12,6.0,116,78,34.32,271.0,27.1,37.6
2016-01-01 06:45:00,40,360.48,11.652,418.4,26.24,0.12,6.0,124,70,31.08,270.0,25.948,37.6
2016-01-01 07:00:00,41,379.68,11.352,416.4,26.24,0.24,8.0,124,74,35.28,271.0,26.7,37.6
2016-01-01 07:15:00,38,396.96,11.952,418.4,26.56,0.24,6.0,124,74,34.8,270.0,30.9,40.8
2016-01-01 07:30:00,42,366.96,11.8,419.6,26.24,0.24,8.0,120,80,41.04,271.0,27.3,38.4
2016-01-01 07:45:00,42,372.48,11.3,415.2,26.24,0.12,6.0,128,74,52.44,309.0,29.148,37.6
2016-01-01 08:00:00,40,363.12,13.1,415.6,27.2,0.24,8.0,112,76,39.72,284.0,28.9,38.4
2016-01-01 08:15:00,40,368.88,11.448,391.6,26.56,0.12,6.0,112,52,37.32,270.0,26.8,38.4
2016-01-01 08:30:00,40,379.92,11.448,410.4,24.32,0.24,6.0,124,34,38.16,269.0,28.748,37.6
2016-01-01 08:45:00,45,371.04,11.352,412.0,20.16,0.12,6.0,132,38,43.08,269.0,29.1,37.6
2016-01-01 09:00:00,41,348.48,11.0,411.6,19.52,0.24,8.0,128,36,47.04,266.0,26.452,36.0
2016-01-01 09:15:00,41,350.16,11.1,410.4,19.52,0.24,6.0,128,34,79.44,266.0,29.1,29.6
2016-01-01 09:30:00,40,366.48,11.952,412.0,19.52,0.12,4.0,128,32,69.96,265.0,28.7,28.8
2016-01-01 09:45:00,39,346.56,12.148,412.8,19.2,0.24,6.0,124,42,62.88,264.0,26.952,28.8
2016-01-01 10:00:00,40,358.8,13.3,412.4,19.52,0.12,8.0,120,36,72.96,265.0,28.648,28.8
2016-01-01 10:15:00,41,353.04,13.652,410.8,19.52,0.24,4.0,124,34,63.6,265.0,28.6,31.2
2016-01-01 10:30:00,41,354.48,11.0,410.8,19.52,0.12,4.0,116,38,88.56,264.0,27.6,30.4
2016-01-01 10:45:00,40,350.64,11.1,412.0,19.84,0.12,8.004,132,34,97.8,265.0,28.9,30.4
2016-01-01 11:00:00,40,347.52,10.8,411.6,19.52,0.36,6.004,120,44,93.96,265.0,27.0,28.0
2016-01-01 11:15:00,40,342.0,10.552,410.4,19.2,0.24,4.004,116,34,88.2,265.0,28.248,28.8
2016-01-01 11:30:00,39,342.96,11.652,409.6,19.52,0.12,8.004,120,36,88.08,265.0,28.9,28.0
2016-01-01 11:45:00,41,363.36,10.7,413.2,18.88,0.12,8.004,116,36,89.52,265.0,26.652,28.0
2016-01-01 12:00:00,39,355.68,12.0,410.8,19.84,0.12,6.004,124,36,83.88,291.0,28.6,29.6
2016-01-01 12:15:00,40,339.84,13.152,387.6,19.2,0.24,4.004,128,36,81.48,293.0,29.0,29.6
2016-01-01 12:30:00,40,341.52,14.252,411.2,19.52,0.12,4.004,132,32,93.24,266.0,26.9,28.8
2016-01-01 12:45:00,38,354.48,13.652,410.4,19.84,0.36,6.004,128,34,76.56,266.0,28.748,28.0
2016-01-01 13:00:00,41,366.48,14.252,410.8,19.52,0.24,4.004,108,32,81.0,267.0,28.548,28.8
2016-01-01 13:15:00,40,345.6,13.5,411.2,18.88,0.12,6.004,112,34,89.52,266.0,26.952,28.0
2016-01-01 13:30:00,39,341.04,12.4,413.6,19.52,0.12,6.004,120,34,79.8,266.0,28.948,28.0
2016-01-01 13:45:00,39,321.84,11.2,412.0,19.2,0.24,6.004,124,32,85.56,267.0,28.9,28.8
2016-01-01 14:00:00,40,336.48,10.752,413.2,19.2,0.12,6.004,124,36,97.2,267.0,26.452,28.8
2016-01-01 14:15:00,41,326.64,10.7,412.8,19.52,0.24,8.004,128,38,92.52,265.0,29.3,27.2
2016-01-01 14:30:00,40,323.52,11.8,412.8,19.52,0.12,6.004,136,44,71.64,267.0,28.0,29.6
2016-01-01 14:45:00,38,342.48,10.6,412.0,19.2,0.24,6.0,124,38,72.96,266.0,28.052,28.8
2016-01-01 15:00:00,40,317.52,10.8,411.2,19.52,0.24,6.0,124,34,80.88,266.0,28.8,28.0
2016-01-01 15:15:00,40,318.48,12.6,410.0,18.88,0.12,8.0,120,34,72.96,266.0,27.452,31.2
